hashtab_delete, basic@00402de0, 00402de0, 00402df4
hashtab_delete, basic@00402e30, 00402e30, 00402e3f
hashtab_delete, basic@00402df6, 00402df6, 00402dfa
hashtab_delete, basic@00402dfe, 00402dfe, 00402e05
hashtab_delete, basic@00402e07, 00402e07, 00402e0b
hashtab_delete, basic@00402e0f, 00402e0f, 00402e16
hashtab_delete, basic@00402e18, 00402e18, 00402e18
hashtab_delete, basic@00402e1d, 00402e1d, 00402e29
utmp_init, basic@00402e50, 00402e50, 00402e70
add_utmp_file, basic@00402e80, 00402e80, 00402e8a
utmp_get_entry, basic@00402e90, 00402e90, 00402e97
print_utmp_record, basic@00402ea0, 00402ea0, 00402ec0
print_utmp_record, basic@00402ec6, 00402ec6, 00402f13
print_utmp_record, basic@00402f18, 00402f18, 00402f21
print_utmp_record, basic@00402ff8, 00402ff8, 0040301c
print_utmp_record, basic@00402f27, 00402f27, 00402f38
print_utmp_record, basic@00402fe0, 00402fe0, 00402fec
print_utmp_record, basic@00402f3e, 00402f3e, 00402f46
print_utmp_record, basic@00402f4b, 00402f4b, 00402f53
print_utmp_record, basic@00402f55, 00402f55, 00402fb9
print_utmp_record, basic@00402fbe, 00402fbe, 00402fcc
print_utmp_record, basic@00403021, 00403021, 00403021
print_utmp_record, basic@00402fce, 00402fce, 00402fd8
utmp_print_file_and_line, basic@00403030, 00403030, 00403037
fix_ut_type_field, basic@00403040, 00403040, 0040304e
fix_ut_type_field, basic@004030e0, 004030e0, 004030ea
fix_ut_type_field, basic@00403054, 00403054, 00403058
fix_ut_type_field, basic@00403148, 00403148, 00403157
fix_ut_type_field, basic@0040305e, 0040305e, 00403062
fix_ut_type_field, basic@00403160, 00403160, 00403174
fix_ut_type_field, basic@00403177, 00403177, 00403177
fix_ut_type_field, basic@00403177, 00403177, 00403177
fix_ut_type_field, basic@00403179, 00403179, 0040318a
fix_ut_type_field, basic@00403210, 00403210, 0040321e
fix_ut_type_field, basic@00403221, 00403221, 00403221
fix_ut_type_field, basic@00403221, 00403221, 00403221
fix_ut_type_field, basic@00403223, 00403223, 00403223
fix_ut_type_field, basic@00403229, 00403229, 0040322f
fix_ut_type_field, basic@00403190, 00403190, 00403194
fix_ut_type_field, basic@0040319a, 0040319a, 004031a9
fix_ut_type_field, basic@004030ed, 004030ed, 004030f6
fix_ut_type_field, basic@00403268, 00403268, 00403276
fix_ut_type_field, basic@00403279, 00403279, 00403279
fix_ut_type_field, basic@00403279, 00403279, 00403279
fix_ut_type_field, basic@0040327b, 0040327b, 0040327b
fix_ut_type_field, basic@00403235, 00403235, 00403247
fix_ut_type_field, basic@0040324a, 0040324a, 0040324a
fix_ut_type_field, basic@0040324a, 0040324a, 0040324a
fix_ut_type_field, basic@0040324c, 0040324c, 0040325f
fix_ut_type_field, basic@0040327d, 0040327d, 0040327f
fix_ut_type_field, basic@00403068, 00403068, 0040306f
fix_ut_type_field, basic@004031c0, 004031c0, 004031c6
fix_ut_type_field, basic@004030f6, 004030f6, 004030f6
fix_ut_type_field, basic@004031d6, 004031d6, 004031e1
fix_ut_type_field, basic@004031e4, 004031e4, 004031e4
fix_ut_type_field, basic@004031e4, 004031e4, 004031e4
fix_ut_type_field, basic@004031e6, 004031e6, 004031e6
fix_ut_type_field, basic@00403075, 00403075, 00403083
fix_ut_type_field, basic@00403086, 00403086, 00403086
fix_ut_type_field, basic@00403086, 00403086, 00403086
fix_ut_type_field, basic@00403088, 00403088, 00403094
fix_ut_type_field, basic@00403098, 00403098, 0040309b
